,x,y
0,0.0,0.02
1,0.03,0.18
2,0.05,0.12
3,0.08,0.31
4,0.1,0.56
5,0.13,0.66
6,0.15,0.45
7,0.18,0.59
8,0.2,0.62
9,0.23,0.88
10,0.25,0.81
11,0.28,1.08
12,0.3,1.25
13,0.33,1.2
14,0.35,1.46
15,0.38,1.52
16,0.4,1.38
17,0.43,1.69
18,0.45,1.66
19,0.48,1.81
20,0.51,1.85
21,0.53,2.1
22,0.56,2.09
23,0.58,2.06
24,0.61,2.3
25,0.63,2.47
26,0.66,2.36
27,0.68,2.41
28,0.71,2.55
29,0.73,2.85
30,0.76,2.94
31,0.78,2.89
32,0.81,3.05
33,0.83,3.1
34,0.86,2.98
35,0.88,2.93
36,0.91,3.22
37,0.93,3.24
38,0.96,3.22
39,0.98,3.22
40,1.01,3.35
41,1.04,3.43
42,1.06,3.4
43,1.09,3.46
44,1.11,3.57
45,1.14,3.77
46,1.16,3.7
47,1.19,3.62
48,1.21,3.66
49,1.24,3.76
50,1.26,3.69
51,1.29,3.72
52,1.31,3.87
53,1.34,3.73
54,1.36,3.91
55,1.39,3.88
56,1.41,4.03
57,1.44,4.06
58,1.46,4.05
59,1.49,4.06
60,1.52,3.94
61,1.54,4.07
62,1.57,3.94
63,1.59,4.03
64,1.62,3.93
65,1.64,3.97
66,1.67,3.81
67,1.69,3.87
68,1.72,4.15
69,1.74,3.83
70,1.77,4.0
71,1.79,3.96
72,1.82,3.97
73,1.84,3.84
74,1.87,3.86
75,1.89,3.62
76,1.92,3.59
77,1.94,3.6
78,1.97,3.55
79,1.99,3.49
80,2.02,3.45
81,2.05,3.58
82,2.07,3.39
83,2.1,3.64
84,2.12,3.48
85,2.15,3.37
86,2.17,3.38
87,2.2,3.15
88,2.22,3.35
89,2.25,3.25
90,2.27,3.14
91,2.3,2.98
92,2.32,3.06
93,2.35,2.95
94,2.37,2.84
95,2.4,2.87
96,2.42,2.68
97,2.45,2.5
98,2.47,2.5
99,2.5,2.27
