,0
0,CELULAR SAMSUNG SM-F926B Z FOLD3 NEGRO
1,CELULAR SAMSUNG SM-F926B Z FOLD3 PLATA
2,CELULAR SAMSUNG S22 ULTRA / SM-S908E BLANCO
3,CELULAR SAMSUNG S22 ULTRA / SM-S908E VERDE
4,CELULAR SAMSUNG SM-G990E S21 FE LAVANDA LAVANDA
5,CELULAR SAMSUNG GALAXY Z FLIP 3 5G NEW CHIP NEGRO
6,CELULAR SAMSUNG SM-G990E S21 FE VERDE VERDE
7,CELULAR SAMSUNG SM-G990E S21 FE GRAFITO GRAFITO
8,CELULAR SAMSUNG S20 FE VERDE
9,CELULAR SAMSUNG GALAXY Z FLIP 3 5G NEW CHIP VERDE
10,CELULAR SAMSUNG S22 ULTRA / SM-S908E NEGRO
11,CELULAR SAMSUNG SM-G990E S21 FE BLANCO BLANCO
12,CELULAR SAMSUNG S22 /  SM-S901E NEGRO
13,CELULAR SAMSUNG S20 FE AZUL
14,CELULAR SAMSUNG S22 /  SM-S901E BLANCO
15,CELULAR SAMSUNG A22 SM-A226B BLANCO
16,CELULAR SAMSUNG GALAXY M12 NEGRO
17,CELULAR SAMSUNG GALAXY Z FLIP 3 5G NEW CHIP BEIGE
18,CELULAR SAMSUNG AO3 SM-A035MZKAARO AZUL
19,CELULAR SAMSUNG SM-A528B NEGRO
20,CELULAR SAMSUNG A22 SM-A226B GRIS
